Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000120647,716,766,658,823,85,49,53,167,protein_coding,CCDC77
ENSG00000120656,1444,1636,2558,2859,425,156,299,801,protein_coding,TAF12
ENSG00000120658,230,262,343,522,24,3,15,32,protein_coding,ENOX1
ENSG00000120659,1,3,0,0,0,0,0,0,protein_coding,TNFSF11
ENSG00000120662,269,333,348,337,155,42,58,161,protein_coding,MTRF1
ENSG00000120669,36,31,57,52,0,1,0,1,protein_coding,SOHLH2
ENSG00000120675,273,388,541,610,258,96,107,314,protein_coding,DNAJC15
ENSG00000120685,5114,5490,4471,5319,765,272,280,959,protein_coding,PROSER1
ENSG00000120686,4058,4501,5673,6214,2928,1046,861,2300,protein_coding,UFM1
ENSG00000120688,1665,1829,1699,1733,323,111,116,326,protein_coding,WBP4
ENSG00000120690,3158,3848,2474,2391,571,193,149,447,protein_coding,ELF1
ENSG00000120693,2762,3002,1480,1546,902,275,166,405,protein_coding,SMAD9
ENSG00000120694,8011,10310,12838,12943,8648,2769,3681,10169,protein_coding,HSPH1
ENSG00000120696,1330,1668,1525,1686,69,26,38,133,protein_coding,KBTBD7
ENSG00000120697,818,962,1210,1350,1474,445,507,1364,protein_coding,ALG5
ENSG00000120699,1606,1764,2187,2563,1705,590,755,2128,protein_coding,EXOSC8
ENSG00000120705,7746,9597,8764,9678,2986,952,1180,2978,protein_coding,ETF1
ENSG00000120708,8,3,9,9,11885,4877,3076,7614,protein_coding,TGFBI
ENSG00000120709,3225,3747,2944,3866,776,233,312,808,protein_coding,FAM53C
ENSG00000120725,1648,1790,2119,2889,33,11,14,43,protein_coding,SIL1
ENSG00000120727,7362,7733,5985,6954,2533,797,596,1574,protein_coding,PAIP2
ENSG00000120729,4,4,5,4,7,2,5,12,protein_coding,MYOT
ENSG00000120733,5181,5927,4409,5189,1233,397,439,1214,protein_coding,KDM3B
ENSG00000120738,93,55,150,271,6,1,2,1,protein_coding,EGR1
ENSG00000120742,4624,5165,8313,9554,3283,1127,1134,3219,protein_coding,SERP1
ENSG00000120756,691,776,860,955,1142,346,516,1265,protein_coding,PLS1
ENSG00000120784,690,812,675,721,1,0,1,2,protein_coding,ZFP30
ENSG00000120798,1399,1653,1018,1164,1296,453,582,1364,protein_coding,NR2C1
ENSG00000120800,1217,1697,2123,2152,838,225,489,1296,protein_coding,UTP20
ENSG00000120802,10062,11482,11454,10503,4092,1226,1642,4377,protein_coding,TMPO
ENSG00000120805,9970,11254,11051,12066,1420,501,473,1455,protein_coding,ARL1
ENSG00000120820,23,21,14,20,145,41,73,198,protein_coding,GLT8D2
ENSG00000120832,1122,1246,1618,1947,266,83,128,349,protein_coding,MTERF2
